name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
19122,2023-03-14T00:00:00,4.7,1.3,2.4,84.88,0,0,rain,0,0,29.5,15.5,308,1007,100,16,0,,0,10,Overcast,cloudy,"KVAY,KPHL,KLOM,KPNE,KDYL"
19122,2023-03-14T01:00:00,4.4,0.5,1.2,79.56,0,0,,0,0,30.8,19.1,298,1006.2,100,16,0,,0,10,Overcast,cloudy,"KVAY,KTTN,KPHL,KLOM,KPNE,KDYL"
19122,2023-03-14T02:00:00,4.2,-0.1,-0.1,73.78,0,0,,0,0,32.9,21.4,286,1005.8,95.6,16,0,,0,10,Overcast,cloudy,"KVAY,KTTN,KPHL,KLOM,KPNE,KDYL"
19122,2023-03-14T03:00:00,4,-0.1,-1,70.2,0,0,rain,0,0,34.7,19.2,286,1005.6,100,16,0,,0,10,Overcast,cloudy,"KVAY,KTTN,KPHL,KLOM,KPNE,KDYL"
19122,2023-03-14T04:00:00,3.7,-0.8,-1.5,68.5,0,0,rain,0,0,36,22,289,1005.1,100,16,0,,0,10,Overcast,cloudy,"KVAY,KTTN,KPHL,KLOM,KPNE,KDYL"
19122,2023-03-14T05:00:00,3.5,-1.6,-2.6,64.73,0,0,,0,0,41.3,26,285,1004.9,95.6,16,0,,0,10,Overcast,cloudy,"KVAY,KTTN,KPHL,KLOM,KPNE,KDYL"
19122,2023-03-14T06:00:00,2.7,-2,-2.9,66.3,0,0,,0,0,35.2,21.8,287,1004.7,92,16,0,,0,10,Overcast,cloudy,"KVAY,KPHL,KLOM,KPNE,KDYL"
19122,2023-03-14T07:00:00,2.1,-3.6,-3,68.63,0,0,,0,0,41.7,29.4,285,1004.9,93.7,16,0,,0,10,Overcast,cloudy,"KVAY,KTTN,KPHL,KLOM,KPNE,KDYL"
19122,2023-03-14T08:00:00,1.8,-3.8,-3.3,69.15,0,0,,0,0,42.2,27,277,1005.1,79.7,16,46,0.2,0,10,Partially cloudy,partly-cloudy-day,"KVAY,KTTN,E8199,KPHL,KLOM,KPNE,KDYL"
19122,2023-03-14T09:00:00,2,-3.6,-2.6,71.28,0,0,,0,0,44.9,28.2,285,1005.4,95.6,11.7,118,0.4,1,10,Overcast,cloudy,"KVAY,KTTN,E8199,KPHL,KLOM,KPNE,KDYL"
19122,2023-03-14T10:00:00,1.6,-4.4,-1.6,79.33,0.092,100,"rain,snow",0,0,43.5,30.1,282,1005.5,100,7.2,117,0.4,1,10,"Snow, Rain, Overcast",rain,"KVAY,E8199,KPHL,KLOM,KPNE"
19122,2023-03-14T11:00:00,1.5,-4.3,-2.2,76.34,0.293,100,"rain,snow",0,0,50,28.3,290,1005.4,100,8.6,144,0.5,1,10,"Snow, Rain, Overcast",rain,"KVAY,E8199,KPHL,KLOM,KPNE,KDYL"
19122,2023-03-14T12:00:00,2.6,-3.6,-3.7,62.91,0.155,100,snow,0,0,56.3,36.5,285,1004.9,100,11.4,198,0.7,2,10,"Snow, Overcast",rain,"KVAY,KTTN,E8199,KPHL,KLOM,KPNE,KDYL"
19122,2023-03-14T13:00:00,3.1,-3.1,-5.3,54.18,0,0,snow,0,0,61.3,38.5,290,1004.8,100,15.5,250,0.9,3,10,Overcast,cloudy,"KVAY,KTTN,E8199,KPHL,KLOM,KPNE,KDYL"
19122,2023-03-14T14:00:00,3.6,-2.5,-5.4,51.72,0,0,snow,0.3,0,57.5,39.3,283,1004.6,100,15.5,276,1,3,10,Overcast,snow,"KVAY,KTTN,E8199,KPHL,KLOM,KPNE,KDYL"
19122,2023-03-14T15:00:00,3.2,-3,-5.2,54.11,0,0,,0,0,63.5,38.9,285,1004.2,100,15.3,319,1.1,3,10,Overcast,cloudy,"KVAY,KTTN,E8199,KPHL,KLOM,KPNE,KDYL"
19122,2023-03-14T16:00:00,3.9,-1.8,-5.6,49.86,0,0,,0,0,58.2,35.7,289,1004.2,100,15.8,278,1,3,10,Overcast,cloudy,"KVAY,KTTN,E8199,KPHL,KLOM,KPNE,KDYL"
19122,2023-03-14T17:00:00,4.5,-1.4,-5,50.11,0,32,"rain,snow",0,0,64.8,38.9,290,1007,95,16.3,247,0.9,2,10,Overcast,cloudy,
19122,2023-03-14T18:00:00,4.5,-1.4,-4.4,52.43,0,32,snow,0,0,66.6,38.9,300,1008,96,16.3,129,0.5,1,10,Overcast,cloudy,
19122,2023-03-14T19:00:00,3.4,-2.8,-4.4,56.65,0,22,snow,0,0,68.4,38.9,300,1009,97,16.3,40,0.1,0,10,Overcast,cloudy,
19122,2023-03-14T20:00:00,2.8,-3.6,-5,56.49,0.3,13,snow,0,0,68.4,38.9,300,1009,96,16.3,32,0.1,0,10,Overcast,cloudy,
19122,2023-03-14T21:00:00,1.7,-4.8,-5.5,58.82,0,10,snow,0,0,64.8,35.3,300,1009,84,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-14T22:00:00,1.2,-5.4,-6.1,58.24,0,8,,0,0,61.2,35.3,300,1009,73,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-14T23:00:00,1.2,-5.4,-6.1,58.24,0,6,,0,0,59.4,35.3,310,1010,73,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-15T00:00:00,0.6,-6.1,-6.1,60.81,0,6,,0,0,59.4,33.5,310,1010,74,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-15T01:00:00,0.6,-6.4,-6.1,60.81,0,6,,0,0,64.8,37.1,310,1010,70,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-15T02:00:00,0.6,-6.2,-6.6,58.53,0,6,,0,0,59.4,35.3,310,1010,70,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-15T03:00:00,0,-6.9,-6.6,61.13,0,6,,0,0,55.4,33.5,310,1010,67,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-15T04:00:00,0,-6.9,-6.6,61.13,0,6,,0,0,57.2,33.5,310,1011,67,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-15T05:00:00,0,-6.9,-7.2,58.37,0,6,,0,0,57.2,33.5,310,1011,70,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-15T06:00:00,-0.5,-7.3,-6.6,63.39,0,4,,0,0,57.2,31.3,310,1012,64,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-15T07:00:00,-1.1,-8.1,-7.2,63.25,0,3,,0,0,57.2,31.3,310,1013,52,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-15T08:00:00,-0.5,-7.3,-7.2,60.53,0,1,,0,0,55.4,31.3,310,1014,44,16.3,72,0.3,1,10,Partially cloudy,partly-cloudy-day,
19122,2023-03-15T09:00:00,0,-6.7,-6.6,61.13,0,1,,0,0,53.6,31.3,310,1014,27,16.3,263,0.9,3,10,Partially cloudy,partly-cloudy-day,
19122,2023-03-15T10:00:00,1.7,-4.4,-6.1,56.19,0,1,,0,0,50,31.3,310,1014,16,16.3,423,1.5,4,10,Clear,clear-day,
19122,2023-03-15T11:00:00,3.4,-2,-6.1,49.8,0,1,,0,0,48.2,29.5,320,1014,13,16.3,576,2.1,6,10,Clear,clear-day,
19122,2023-03-15T12:00:00,4.5,-0.8,-6.1,46.09,0,1,,0,0,50,31.3,320,1015,13,16.3,675,2.4,7,10,Clear,clear-day,
19122,2023-03-15T13:00:00,5.6,0.7,-5.5,44.69,0,0,,0,0,50,31.3,320,1014,10,16.3,734,2.6,7,10,Clear,clear-day,
19122,2023-03-15T14:00:00,6.7,2.1,-5.5,41.42,0,0,,0,0,53.6,31.3,320,1014,8,16.3,730,2.6,7,10,Clear,clear-day,
19122,2023-03-15T15:00:00,7.3,2.9,-6.1,37.98,0,0,,0,0,51.8,31.3,320,1014,6,16.3,717,2.6,7,10,Clear,clear-day,
19122,2023-03-15T16:00:00,7.8,3.7,-6.6,35.33,0,0,,0,0,50,29.5,320,1015,5,16.3,598,2.2,6,10,Clear,clear-day,
19122,2023-03-15T17:00:00,7.8,3.7,-7.2,33.74,0,0,,0,0,48.2,29.5,320,1015,5,16.3,442,1.6,4,10,Clear,clear-day,
19122,2023-03-15T18:00:00,6.7,2.6,-8.3,33.4,0,0,,0,0,44.3,25.9,320,1016,5,16.2,265,1,3,10,Clear,clear-day,
19122,2023-03-15T19:00:00,5.6,1.3,-8.3,36.04,0,0,,0,0,38.9,24.1,320,1017,5,16.2,112,0.4,1,10,Clear,clear-day,
19122,2023-03-15T20:00:00,5,0.6,-8.3,37.57,0,0,,0,0,37.1,24.1,310,1018,8,16.3,91,0.3,0,10,Clear,clear-night,
19122,2023-03-15T21:00:00,3.9,-0.6,-8.3,40.58,0,0,,0,0,33.5,22.3,310,1019,6,16.3,0,,0,10,Clear,clear-night,
19122,2023-03-15T22:00:00,3.4,-1.1,-8.3,42.03,0,0,,0,0,29.5,20.5,310,1019,7,16.3,0,,0,10,Clear,clear-night,
19122,2023-03-15T23:00:00,2.3,-2.2,-8.8,43.7,0,0,,0,0,29.5,18.4,310,1020,6,16.3,0,,0,10,Clear,clear-night,
19122,2023-03-16T00:00:00,2.3,-2.2,-8.3,45.44,0,0,,0,0,25.9,18.4,310,1020,6,16.3,0,,0,10,Clear,clear-night,
19122,2023-03-16T01:00:00,1.7,-2.9,-8.3,47.43,0,0,,0,0,25.9,18.4,310,1020,6,16.3,0,,0,10,Clear,clear-night,
19122,2023-03-16T02:00:00,1.2,-3.2,-8.3,49.16,0,0,,0,0,24.1,16.6,310,1020,5,16.3,0,,0,10,Clear,clear-night,
19122,2023-03-16T03:00:00,0.6,-3.7,-8.3,51.33,0,0,,0,0,22.3,14.8,310,1020,11,16.3,0,,0,10,Clear,clear-night,
19122,2023-03-16T04:00:00,0.6,-3.7,-8.3,51.33,0,0,,0,0,20.5,14.8,310,1020,17,16.2,0,,0,10,Clear,clear-night,
19122,2023-03-16T05:00:00,0,-4.1,-8.3,53.61,0,0,,0,0,18.4,13,310,1020,23,16.2,0,,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-16T06:00:00,0,-3.8,-8.1,54.45,0,0,,0,0,16.6,11.8,300,1020,27.7,16.2,24,0.1,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-16T07:00:00,0,-3.5,-7.9,55.3,0,0,,0,0,14.8,10.6,290,1021,32.3,16.3,48,0.2,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-16T08:00:00,0,-3.2,-7.7,56.16,0,0,,0,0,13,9.4,280,1021,37,16.3,72,0.3,1,10,Partially cloudy,partly-cloudy-day,
19122,2023-03-16T09:00:00,2.2,-0.8,-6.8,51.27,0,0,,0,0,15.5,10.6,273.3,1022,33.3,16.3,205,0.8,2,10,Partially cloudy,partly-cloudy-day,
19122,2023-03-16T10:00:00,4.4,1.6,-5.9,46.91,0,0,,0,0,18,11.8,266.7,1021,29.7,16.3,338,1.2,3,10,Partially cloudy,partly-cloudy-day,
19122,2023-03-16T11:00:00,6.7,4.1,-5,43.02,0,0,,0,0,20.5,13,260,1021,26,16.3,471,1.7,5,10,Partially cloudy,partly-cloudy-day,
