name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
19122,2023-03-15T00:00:00,0.6,-6.1,-6.1,60.81,0,6,,0,0,59.4,33.5,310,1010,74,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-15T01:00:00,0.6,-6.4,-6.1,60.81,0,6,,0,0,64.8,37.1,310,1010,70,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-15T02:00:00,0.6,-6.2,-6.6,58.53,0,6,,0,0,59.4,35.3,310,1010,70,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-15T03:00:00,0,-6.9,-6.6,61.13,0,6,,0,0,55.4,33.5,310,1010,67,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-15T04:00:00,0,-6.9,-6.6,61.13,0,6,,0,0,57.2,33.5,310,1011,67,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-15T05:00:00,0,-6.9,-7.2,58.37,0,6,,0,0,57.2,33.5,310,1011,70,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-15T06:00:00,-0.5,-7.3,-6.6,63.39,0,4,,0,0,57.2,31.3,310,1012,64,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-15T07:00:00,-1.1,-8.1,-7.2,63.25,0,3,,0,0,57.2,31.3,310,1013,52,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
19122,2023-03-15T08:00:00,-0.5,-7.3,-7.2,60.53,0,1,,0,0,55.4,31.3,310,1014,44,16.3,72,0.3,1,10,Partially cloudy,partly-cloudy-day,
19122,2023-03-15T09:00:00,0,-6.7,-6.6,61.13,0,1,,0,0,53.6,31.3,310,1014,27,16.3,263,0.9,3,10,Partially cloudy,partly-cloudy-day,
19122,2023-03-15T10:00:00,1.7,-4.4,-6.1,56.19,0,1,,0,0,50,31.3,310,1014,16,16.3,423,1.5,4,10,Clear,clear-day,
19122,2023-03-15T11:00:00,3.4,-2,-6.1,49.8,0,1,,0,0,48.2,29.5,320,1014,13,16.3,576,2.1,6,10,Clear,clear-day,
19122,2023-03-15T12:00:00,4.5,-0.8,-6.1,46.09,0,1,,0,0,50,31.3,320,1015,13,16.3,675,2.4,7,10,Clear,clear-day,
19122,2023-03-15T13:00:00,5.6,0.7,-5.5,44.69,0,0,,0,0,50,31.3,320,1014,10,16.3,734,2.6,7,10,Clear,clear-day,
19122,2023-03-15T14:00:00,6.7,2.1,-5.5,41.42,0,0,,0,0,53.6,31.3,320,1014,8,16.3,730,2.6,7,10,Clear,clear-day,
19122,2023-03-15T15:00:00,7.3,2.9,-6.1,37.98,0,0,,0,0,51.8,31.3,320,1014,6,16.3,717,2.6,7,10,Clear,clear-day,
19122,2023-03-15T16:00:00,7.8,3.7,-6.6,35.33,0,0,,0,0,50,29.5,320,1015,5,16.3,598,2.2,6,10,Clear,clear-day,
19122,2023-03-15T17:00:00,7.8,3.7,-7.2,33.74,0,0,,0,0,48.2,29.5,320,1015,5,16.3,442,1.6,4,10,Clear,clear-day,
19122,2023-03-15T18:00:00,6.7,2.6,-8.3,33.4,0,0,,0,0,44.3,25.9,320,1016,5,16.2,265,1,3,10,Clear,clear-day,
19122,2023-03-15T19:00:00,5.6,1.3,-8.3,36.04,0,0,,0,0,38.9,24.1,320,1017,5,16.2,112,0.4,1,10,Clear,clear-day,
19122,2023-03-15T20:00:00,5,0.6,-8.3,37.57,0,0,,0,0,37.1,24.1,310,1018,8,16.3,91,0.3,0,10,Clear,clear-night,
19122,2023-03-15T21:00:00,3.9,-0.6,-8.3,40.58,0,0,,0,0,33.5,22.3,310,1019,6,16.3,0,,0,10,Clear,clear-night,
19122,2023-03-15T22:00:00,3.4,-1.1,-8.3,42.03,0,0,,0,0,29.5,20.5,310,1019,7,16.3,0,,0,10,Clear,clear-night,
19122,2023-03-15T23:00:00,2.3,-2.2,-8.8,43.7,0,0,,0,0,29.5,18.4,310,1020,6,16.3,0,,0,10,Clear,clear-night,
