name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
19122,2023-04-25T00:00:00,9.5,8.1,1.7,58.23,0,1,,0,0,13,9.4,290,1020,16,16.2,0,,0,10,Clear,clear-night,
19122,2023-04-25T01:00:00,8.9,7.4,1.7,60.63,0,1,,0,0,13,9.4,300,1020,15,16.2,0,,0,10,Clear,clear-night,
19122,2023-04-25T02:00:00,8.4,6.8,1.7,62.71,0,1,,0,0,13,9.4,300,1020,15,16.2,0,,0,10,Clear,clear-night,
19122,2023-04-25T03:00:00,7.3,5.5,1.7,67.59,0,0,,0,0,13,9.4,300,1021,15,16.2,0,,0,10,Clear,clear-night,
19122,2023-04-25T04:00:00,6.7,4.8,1.7,70.43,0,0,,0,0,13,9.4,310,1021,14,16.3,0,,0,10,Clear,clear-night,
19122,2023-04-25T05:00:00,6.2,4.2,2.3,76.09,0,0,,0,0,13,9.4,310,1021,14,16.3,0,,0,10,Clear,clear-night,
19122,2023-04-25T06:00:00,6.2,4.2,2.3,76.09,0,1,,0,0,13,9.4,310,1021,14,16.3,0,,0,10,Clear,clear-night,
19122,2023-04-25T07:00:00,7.3,5.5,2.8,73.1,0,2,,0,0,13,9.4,320,1022,13,16.2,70,0.3,1,10,Clear,clear-day,
19122,2023-04-25T08:00:00,6.7,4.4,2.3,73.51,0,1,,0,0,14.8,11.2,320,1022,13,16.2,239,0.9,2,10,Clear,clear-day,
19122,2023-04-25T09:00:00,8.9,7.1,1.7,60.63,0,1,,0,0,14.8,11.2,320,1023,12,16.2,468,1.7,5,10,Clear,clear-day,
19122,2023-04-25T10:00:00,10.6,10.6,0.6,49.98,0,1,,0,0,14.8,11.2,320,1022,12,16.2,644,2.3,6,10,Clear,clear-day,
19122,2023-04-25T11:00:00,12.8,12.8,0,41.39,0,1,,0,0,18.4,13,320,1023,11,16.2,695,2.5,7,10,Clear,clear-day,
19122,2023-04-25T12:00:00,13.9,13.9,-0.5,37.15,0,1,,0,0,18.4,13,310,1023,26,16.2,791,2.8,8,10,Partially cloudy,partly-cloudy-day,
19122,2023-04-25T13:00:00,14.5,14.5,-1.6,32.97,0,1,,0,0,20.5,14.8,300,1023,41,16.2,770,2.8,8,10,Partially cloudy,partly-cloudy-day,
19122,2023-04-25T14:00:00,15.6,15.6,-2.2,29.39,0,0,,0,0,24.1,16.6,300,1022,56,16.2,735,2.6,7,10,Partially cloudy,partly-cloudy-day,
19122,2023-04-25T15:00:00,15.6,15.6,-2.7,28.32,0,0,,0,0,24.1,16.6,300,1022,53,16.2,672,2.4,7,10,Partially cloudy,partly-cloudy-day,
19122,2023-04-25T16:00:00,16.2,16.2,-2.7,27.26,0,0,,0,0,20.5,14.8,300,1022,50,16.2,581,2.1,6,10,Partially cloudy,partly-cloudy-day,
19122,2023-04-25T17:00:00,16.2,16.2,-3.3,26.07,0,0,,0,0,20.5,14.8,300,1022,47,16.2,494,1.8,5,10,Partially cloudy,partly-cloudy-day,
19122,2023-04-25T18:00:00,15.6,15.6,-3.3,27.08,0,0,,0,0,18.4,13,300,1022,35,16.2,340,1.2,3,10,Partially cloudy,partly-cloudy-day,
19122,2023-04-25T19:00:00,14.5,14.5,-2.7,30.4,0,0,,0,0,14.8,11.2,300,1023,24,16.2,188,0.7,2,10,Partially cloudy,partly-cloudy-day,
19122,2023-04-25T20:00:00,13.9,13.9,-2.7,31.6,0,0,,0,0,13,9.4,300,1023,13,16.2,105,0.4,0,10,Clear,clear-night,
19122,2023-04-25T21:00:00,12.3,12.3,-2.2,36.41,0,0,,0,0,11.2,7.6,300,1024,11,16.2,0,,0,10,Clear,clear-night,
19122,2023-04-25T22:00:00,10.6,10.6,-1.1,44.17,0,0,,0,0,11.2,7.6,290,1023,12,16.2,0,,0,10,Clear,clear-night,
19122,2023-04-25T23:00:00,8.9,8.3,-0.5,51.73,0,0,,0,0,9.4,5.4,280,1023,12,16.2,0,,0,10,Clear,clear-night,
